Timestamp,Prompt Throughput (tok/s),Generation Throughput (tok/s),Running Reqs,Waiting Reqs,KV Cache Usage (%),Prefix Cache Hit Rate (%)
09-03 15:44:04,0.0,2572.5497909058518,74,0,5.61823104693141,0.0
09-03 15:44:14,0.0,2039.1416230375944,54,0,4.206778981147212,0.0
09-03 15:44:24,0.0,1581.3423600632002,43,0,3.484757320497392,0.0
09-03 15:44:34,0.0,1171.6673349303078,31,0,2.5922583233052547,0.0
09-03 15:44:44,0.0,822.1702100675025,20,0,1.702266345768151,0.0
09-03 15:44:54,0.0,531.0458836508128,13,0,1.1181307661452076,0.0
09-03 15:45:04,0.0,290.0831222343302,7,0,0.6242478941034912,0.0
09-03 15:45:14,0.0,173.79559929196557,1,0,0.08523866827115922,0.0
09-03 15:45:24,0.0,20.897607247108056,0,0,0.0,0.0
09-03 15:45:34,0.0,0.0,0,0,0.0,0.0
09-03 15:45:44,0.0,0.0,0,0,0.0,0.0
09-03 15:45:54,0.0,0.0,0,0,0.0,0.0
09-03 15:46:04,0.0,0.0,0,0,0.0,0.0
09-03 15:46:14,0.0,0.0,0,0,0.0,0.0
09-03 15:46:24,0.0,0.0,0,0,0.0,0.0
09-03 15:46:34,0.0,0.0,0,0,0.0,0.0
09-03 15:46:44,0.0,0.0,0,0,0.0,0.0
09-03 15:46:54,0.0,0.0,0,0,0.0,0.0
09-03 15:47:04,0.0,0.0,0,0,0.0,0.0
09-03 15:47:14,0.0,0.0,0,0,0.0,0.0
09-03 15:47:24,0.0,0.0,0,0,0.0,0.0
09-03 15:47:34,0.0,0.0,0,0,0.0,0.0
